District Name,District Number,Year,elem_nutr_gen_atm,mid_nutr_gen_atm,elem_nutr_bkfst,mid_nutr_bkfst,elem_nutr_lunch,mid_nutr_lunch,elem_nutr_a_la_carte,mid_nutr_a_la_carte,elem_nutr_vend,mid_nutr_vend,elem_nutr_sch_store,mid_nutr_sch_store,elem_nutr_sch_day,mid_nutr_sch_day,elem_nutr_aft_sch_prog,mid_nutr_aft_sch_prog,elem_ne_gen_guide_and_class,mid_ne_gen_guide_and_class,elem_ne_cafeteria,mid_ne_cafeteria,elem_ne_events_dur_sch_day,mid_ne_events_dur_sch_day,elem_ne_aft_sch_prog,mid_ne_aft_sch_prog,elem_ne_fam_comm,mid_ne_fam_comm,elem_ne_staff_well,mid_ne_staff_well,elem_pa_gen_guide_pe_class,mid_pa_gen_guide_pe_class,elem_pa_thru_day,mid_pa_thru_day,elem_pa_punish,mid_pa_punish,elem_pa_recess,mid_pa_recess,elem_pa_bef_aft_sch,mid_pa_bef_aft_sch,elem_pa_fam_comm,mid_pa_fam_comm,3_mean_edfa_ela,3_mean_edfa_math,4_mean_edfa_ela,4_mean_edfa_math,5_mean_edfa_ela,5_mean_edfa_math,6_mean_edfa_ela,6_mean_edfa_math,7_mean_edfa_ela,7_mean_edfa_math,8_mean_edfa_ela,8_mean_edfa_math,three_mean_ela2011,three_mean_math2011,four_mean_ela2011,four_mean_math2011,five_mean_ela2011,five_mean_math2011,six_mean_ela2011,six_mean_math2011,seven_mean_ela2011,seven_mean_math2011,eight_mean_ela2011,eight_mean_math2011,three_ela_change,three_math_change,four_ela_change,four_math_change,five_ela_change,five_math_change,six_ela_change,six_math_change,seven_ela_change,seven_math_change,eight_ela_change,eight_math_change
Coffeyville,445,2010,B+,B+,E-,E-,E-,E,A+,E-,,E,,E,E-,A+,E+,,A,A,E-,A-,E,E-,B+,,E,E,E-,E-,B,A,E+,A+,B+,B+,B,,E,E+,B+,A+,-0.31132621,-0.39701664,-0.34029701,-0.50004625,-0.15697125,-0.36966938,-0.27648818,-0.39401862,-0.46009192,-0.54037201,-0.21364954,-0.42721322,-0.45225549,-0.87933391,-0.39765918,-0.55195957,-0.29891825,-0.34654474,-0.29272234,-0.33625036,-0.33846101,-0.4985837,-0.38801119,-0.58874112,-0.14092928,-0.48231727,-0.05736217,-0.05191332,-0.141947,0.02312464,-0.01623416,0.05776826,0.12163091,0.04178831,-0.17436165,-0.1615279
Colby Public Schools,315,2010,B+,B+,E-,E-,A+,A+,,,,A+,,,A,A,,,A-,A-,A+,A+,E+,B+,,,B+,B+,E,E,A-,B+,E-,A+,B+,B+,E-,,E+,B+,E-,A+,-0.16877472,-0.045522925,-0.1252078,-0.29526559,-0.1758443,-0.36677,-0.23405778,-0.31654221,-0.25453734,-0.072848938,-0.23775262,-0.20895751,-0.13308495,-0.055076119,0.12550479,-0.18058749,-0.076340273,-0.11092032,0.025052393,0.032423981,-0.23421302,-0.059110276,-0.084418073,-0.042706434,0.03568977,-0.009553194,0.25071259,0.1146781,0.099504027,0.25584968,0.259110173,0.348966191,0.02032432,0.013738662,0.153334547,0.166251076
Columbus,493,2010,B+,B+,A+,A+,A+,E-,,A,A-,,,,A,A,,,A,A,A-,A+,E-,B+,,,B+,B+,B+,B+,B+,B+,A+,B+,B-,B+,A+,,E,E,A+,A+,-0.27512383,-0.45454997,-0.46454486,-0.17867343,-0.3439348,-0.35308746,-0.50551677,-0.70163488,-0.4910742,-0.54815733,-0.24899791,-0.48652235,-0.1348795,-0.29418504,-0.1320626,0.17373152,-0.24017923,-0.40283978,-0.31349689,-0.43340808,0.025710624,-0.19811586,-0.054673333,-0.19850709,0.14024433,0.16036493,0.33248226,0.35240495,0.10375557,-0.04975232,0.19201988,0.2682268,0.516784824,0.35004147,0.194324577,0.28801526
Comanche County,300,2010,B+,B+,E,E+,E,E,,,E,E,,,E-,E-,,,A,A,E,E,E+,E+,,,E,E,E+,E+,A,A-,E,E-,B+,B+,E-,,,,E-,E-,-0.028705001,-0.077014424,0.11073223,-0.023229409,0.16825302,0.42228395,-0.081684925,0.0591066,0.080005437,0.19473526,0.004537318,0.13423361,-0.31930876,-0.5860585,0.16479683,0.002851822,-0.044533767,0.19770308,0.25900617,0.1415313,0.001549739,0.21771003,0.20932055,0.079387672,-0.290603759,-0.509044076,0.0540646,0.026081231,-0.212786787,-0.22458087,0.340691095,0.0824247,-0.078455698,0.02297477,0.204783232,-0.054845938
Concordia,333,2010,B+,B+,E,E,E-,E-,,,B+,B+,,,A,A,A+,A+,A,A,E,E,E,A,E,E,E+,E+,E,E,A+,A+,E+,E+,B+,B+,E-,,E+,E+,E,E+,0.38544846,0.46218005,0.14135061,0.13118683,-0.070743442,-0.23924692,0.19880554,0.11911971,0.20161819,0.30268979,0.074794546,0.10727823,0.1521816,-0.11073189,0.1895709,0.16954011,0.014615904,-0.047733828,0.1781441,0.049268175,0.10952119,-0.053839639,0.37043294,-0.22041628,-0.23326686,-0.57291194,0.04822029,0.03835328,0.085359346,0.191513092,-0.02066144,-0.069851535,-0.092097,-0.356529429,0.295638394,-0.32769451
Conway Springs,356,2010,B+,B+,A+,A+,B+,B+,B+,B,B+,A,,,B,B,,,A-,A-,B,B,B+,B+,,,B-,B-,B-,B-,B+,A+,B,B,B+,B+,B,,A+,E-,B-,B-,0.063617647,0.16092032,0.15916486,-0.38797599,-0.18089521,-0.10816944,0.24802683,-0.22820404,0.17746586,0.30686638,0.25653294,0.42903444,0.26575109,0.23722281,0.030214384,0.14803833,0.18725795,-0.31030756,-0.086620376,-0.13741237,0.18939154,0.20550367,0.044053432,0.22359638,0.202133443,0.07630249,-0.128950476,0.53601432,0.36815316,-0.20213812,-0.334647206,0.09079167,0.01192568,-0.10136271,-0.212479508,-0.20543806
Copeland,476,2010,B+,B+,A,A,,,,,,,,,A+,A,,,E+,E+,E,E,A,A,,,E-,E-,E-,E-,A-,E-,E+,E+,B,B+,E,,,,E-,E-,,,,,,,-0.40390164,0.16476837,-0.21306671,0.3748441,0.013348633,0.5086543,,,,,,,,,-0.2910392,0.33112571,-0.32877284,0.1536237,0,0,0,0,0,0,0.40390164,-0.16476837,-0.07797249,-0.04371839,-0.342121473,-0.3550306
Deerfield,216,2010,B+,B+,E,E,A+,A+,,,A+,E-,,,A+,A+,E+,E+,E+,E+,E+,E,E+,E,E+,E+,E,E,E+,E+,E+,E,E+,E,B,B,E,,E+,E+,E,E,,,,,,,,,0.22920398,-0.29835913,-0.060422935,-0.49535474,-0.26927269,-0.34518331,,,,,,,-0.063886464,-0.3907066,0.062601753,-0.23680453,-0.26927269,-0.34518331,0,0,0,0,0,0,-0.293090444,-0.09234747,0.123024688,0.25855021
Derby,260,2010,B+,B+,E,E,A+,A+,,E+,,A,,,A-,A-,E+,,A-,B+,B-,B-,B+,B+,B-,,B+,B-,E-,E-,B,B,B+,B+,B+,B+,B+,,A+,A+,B+,B+,0.097909905,-0.037880033,0.017894151,-0.041747253,0.002289912,-0.005660857,-0.048287943,0.069715209,-0.21577574,-0.047628239,-0.004824936,0.079246089,0.002914919,-0.1166804,0.00896654,0.004590043,0.05604542,0.16017577,0.021773208,0.11983153,-0.36970836,-0.31459981,-0.24896708,-0.20029567,-0.094994986,-0.078800367,-0.008927611,0.046337296,0.053755508,0.165836627,0.070061151,0.050116321,-0.15393262,-0.266971571,-0.244142144,-0.279541759
Dighton,482,2010,B+,B+,E,E,E-,E-,,,,E,,,A+,A+,E+,E+,E+,E,E,E,E+,E+,,,E+,E,E+,E+,A,A+,E,E,B+,B+,E,,E+,E+,E,E,,,0.046073209,0.086552024,,,,,,,0.6825946,0.80127555,,,,,-0.17362079,0.29253581,,,,,,,0,0,-0.046073209,-0.086552024,-0.17362079,0.29253581,0,0,0,0,-0.6825946,-0.80127555
Dodge City,443,2010,B+,B+,E,E+,E-,E-,,A+,E,E,,,A-,A-,E+,,A-,A-,A,A,E-,E-,E-,,A+,A+,E,E,A,A-,E,E-,B+,B+,E,,E,E,E-,E-,-0.28198636,-0.18960345,-0.33790544,-0.17130075,-0.39456749,-0.21345973,-0.22889319,-0.041868307,-0.40377998,-0.55207562,-0.59504271,-0.62454528,-0.093476087,-0.002624626,-0.19199534,-0.20217571,-0.53831297,-0.4467738,-0.19989844,-0.051366441,-0.40515751,-0.34774506,-0.34214973,-0.4831937,0.188510273,0.186978824,0.1459101,-0.03087496,-0.14374548,-0.23331407,0.02899475,-0.009498134,-0.00137753,0.20433056,0.25289298,0.14135158
Doniphan West Schools,111,2010,B+,B+,A+,A+,A-,A-,,,,,,,,,,,A,E,A-,E-,E,E,,,E,E,E,E,E,E,E+,E+,B-,B-,E,,E,E,E-,E-,-0.4312157,-0.31464154,-0.16809593,-0.54692966,-0.090762123,-0.10055818,0.003559762,0.097960606,-0.22813158,-0.22634457,0.010120543,-0.3758963,,,0.07856939,0.10921694,-0.14394858,-0.089725345,0.3510429,0.12395161,0.19436932,0.026843634,0.031775486,0.061330728,0.4312157,0.31464154,0.24666532,0.6561466,-0.053186457,0.010832835,0.347483138,0.025991004,0.4225009,0.253188204,0.021654943,0.437227028
Douglass Public Schools,396,2010,B+,B+,E+,E+,E-,E-,,E,,,,,A,A,,,A,A,E-,E-,A+,B+,,,A-,A-,A,A-,B+,B+,E-,B+,B-,B-,E-,,E+,E+,,E-,-0.091651998,-0.16251047,-0.17322239,-0.011346158,0.045866482,-0.17342347,-0.000917459,0.099860549,-0.28363383,-0.13786027,-0.12174564,0.062556341,-0.3281258,-0.4555088,-0.101383,-0.40071848,-0.18099532,-0.12318264,-0.10075808,-0.14400305,0.011682056,-0.029847624,-0.21074723,-0.394512,-0.236473802,-0.29299833,0.07183939,-0.389372322,-0.226861802,0.05024083,-0.099840621,-0.243863599,0.295315886,0.108012646,-0.08900159,-0.457068341
Durham-Hillsboro-Lehigh,410,2010,B,B,A+,A+,A,A-,,,,B,,,A-,B+,,,B,B,B+,B+,B+,B+,,,A-,A-,A+,A+,A,A,B+,B+,B+,B+,A+,,E,E,A+,A+,0.3645978,0.5074423,0.34161374,0.66673678,0.13813655,0.94155115,0.19752373,0.44409901,0.29320604,0.26788548,0.25568613,0.42080584,0.38813582,0.33357832,0.17389536,0.39789441,0.032966748,0.49159834,0.15011792,0.46445787,0.069404155,0.3075963,0.41161683,0.54917914,0.02353802,-0.17386398,-0.16771838,-0.26884237,-0.105169802,-0.44995281,-0.04740581,0.02035886,-0.223801885,0.03971082,0.1559307,0.1283733
Easton,449,2010,B+,B+,A,A,A,A,,E,,E-,,,A,A-,,,B-,B-,A+,A+,A+,A+,,,A+,E-,E-,E-,B,E-,E+,E-,B,B+,A+,,,,E-,E,0.55346107,0.44940028,0.22904935,0.6007542,0.18426424,0.20319712,-0.17033871,-0.51931757,0.080401443,-0.17378622,0.040921107,-0.062459197,0.23436841,0.24696028,0.36805791,0.095832564,0.052649558,-0.003305078,-0.099242233,-0.35190889,-0.024199892,-0.2200796,0.030940987,-0.26075435,-0.31909266,-0.20244,0.13900856,-0.504921636,-0.131614682,-0.206502198,0.071096477,0.16740868,-0.104601335,-0.04629338,-0.00998012,-0.198295153
El Dorado,490,2010,B+,B+,E,E,A+,A+,,E,,E-,,,A,A,,,B,B,E-,E-,B+,B+,,,B+,B+,,,B,A+,E,E,B,B+,E,,E,E,E,E,0.18474391,0.15552644,0.097754918,0.20422156,0.11285118,0.36362904,-0.18330789,0.064424574,0.1175352,-0.017136324,0.059116438,-0.1470397,0.051518105,0.053864568,0.02425628,0.13798234,-0.12698054,0.074363068,-0.17516768,-0.42574465,-0.25931218,-0.32118657,-0.085942738,-0.44024161,-0.133225805,-0.101661872,-0.073498638,-0.06623922,-0.23983172,-0.289265972,0.00814021,-0.490169224,-0.37684738,-0.304050246,-0.145059176,-0.29320191
Elkhart,218,2010,B+,B+,E,E,E-,E-,,E-,,A+,,A+,A-,A-,E-,,B+,A-,A,A-,E-,E-,E,E,A+,A+,E+,E,A-,B+,E-,B,B+,B+,E-,,E-,E,E-,E-,0.23189075,0.11202879,-0.16771366,-0.31647712,-0.52169895,-0.57402432,-0.16465753,-0.67207134,-0.15975572,-0.28258529,-0.29695281,-0.2756106,0.04484883,-0.078983225,0.044824004,-0.30088112,-0.21525896,-0.34063599,-0.071505353,-0.5197745,-0.28128925,-0.65165478,-0.20708379,-0.19310972,-0.18704192,-0.191012015,0.212537664,0.015596,0.30643999,0.23338833,0.093152177,0.15229684,-0.12153353,-0.36906949,0.08986902,0.08250088
Ellinwood Public Schools,355,2010,B+,B+,A+,A+,A,A,A+,A+,,A,,,A,A,,,E-,E-,E-,E-,E,E,,,A+,A+,E-,E-,A+,E-,A+,B+,B+,B+,A+,,B+,B+,E-,E-,0.30227864,0.14022288,0.44150275,0.178758,0.15301433,0.15171266,-0.36210868,-0.048041731,-0.40002412,-0.2388781,-0.26765102,-0.038968764,0.57272965,-0.08650282,0.28805196,0.42913607,0.14728598,-0.34066582,-0.12748025,0.00459316,-0.38663292,-0.085317895,-0.50497025,-0.3688392,0.27045101,-0.2267257,-0.15345079,0.25037807,-0.00572835,-0.49237848,0.23462843,0.052634891,0.0133912,0.153560205,-0.23731923,-0.329870436
Ellis,388,2010,B+,B+,E-,E,,,,,,,,,A+,A+,A,,A,A,E,E,E,E,A+,,E-,E-,E,E,B+,A+,E,E-,B-,B+,E,,,,E,E,0.39975622,-0.070899077,0.22993626,0.006985458,-0.13868494,-0.52136797,0.39238867,-0.055244621,0.74253541,0.7849474,0.40175521,0.061710704,-1.306337,-1.1112509,-0.058306739,0.075056918,0.010426877,-0.33080599,-0.07456322,-0.32201079,0.29451609,0.35537872,0.67074639,0.79863226,-1.70609322,-1.040351823,-0.288242999,0.06807146,0.149111817,0.19056198,-0.46695189,-0.266766169,-0.44801932,-0.42956868,0.26899118,0.736921556
Ell-Saline,307,2010,B+,B+,E+,E+,E,E,,,,E+,,,A,A-,A-,,A+,A+,E,A,E,,A+,,A+,A+,A+,A+,A-,B+,E-,E-,B+,B+,B+,,,E-,E-,E-,0.24754916,0.13873118,-0.21298419,-0.53615034,-0.052805476,-0.40895212,0.25510889,0.30089203,-0.049938761,-0.42943978,0.34617245,0.12919033,-0.02429973,-0.048998185,0.32726425,0.007661881,-0.35439944,-0.49184266,0.38548404,0.25457743,0.24968521,0.28216007,0.18409821,-0.25013417,-0.27184889,-0.187729365,0.54024844,0.543812221,-0.301593964,-0.08289054,0.13037515,-0.0463146,0.299623971,0.71159985,-0.16207424,-0.3793245
Ellsworth,327,2010,B+,B+,E,E,A+,A+,,,E+,E+,,,A,A-,,,B+,B,B+,B+,B+,B+,A-,,B+,B-,A,A,A-,A-,E+,A+,B+,B+,E-,,E-,A+,A+,A+,0.66021186,0.7457906,0.27155748,-0.11262283,0.14093916,0.14453335,-0.068574943,0.19494967,0.45823389,0.20455188,-0.12220673,0.10020673,0.80982667,0.78550166,0.083084367,0.29580551,-0.38277641,-0.17343441,0.12208573,0.20408203,-0.031870678,-0.095748566,0.38174406,0.42672741,0.14961481,0.03971106,-0.188473113,0.40842834,-0.52371557,-0.31796776,0.190660673,0.00913236,-0.490104568,-0.300300446,0.50395079,0.32652068
Emporia,253,2010,B+,B+,E,E,E-,E-,E+,E+,E+,E,E,E,A-,A-,E+,E+,E+,E+,E,E,E,E,E,E,E,E,E+,E+,E-,E-,E+,E+,B+,B+,E,,E,E,E,E,0.10331168,0.1335592,-0.13141218,-0.20660132,-0.31852421,-0.33620197,-0.31681129,-0.2473231,0.049857955,-0.010898832,-0.085808374,-0.032119725,-0.025931258,0.020633256,0.025587229,-0.096239731,-0.25329125,-0.53907341,-0.047529168,0.023343848,-0.26119629,-0.27289444,-0.084434614,-0.3304098,-0.129242938,-0.112925944,0.156999409,0.110361589,0.06523296,-0.20287144,0.269282122,0.270666948,-0.311054245,-0.261995608,0.00137376,-0.298290075
Erie,101,2010,B+,B,E,E,E-,E-,E,E,,,,,A-,B+,,,B+,B+,E,A+,A,A,,,A+,A,E-,E-,A+,B+,E-,B+,B+,B+,E-,,,,,,0.011562979,0.23260024,-0.31996167,-0.15542978,-0.03450235,0.27577126,0.043310951,-0.13776442,0.72788012,0.40720883,0.39492306,0.33512491,0.019849328,0.24823785,-0.27098972,0.053884156,-0.25807279,-0.1154943,0.10587004,-0.055746261,-0.4978992,0.075007103,0.22853191,0.22869571,0.008286349,0.01563761,0.04897195,0.209313936,-0.22357044,-0.39126556,0.062559089,0.082018159,-1.22577932,-0.332201727,-0.16639115,-0.1064292
Eudora,491,2010,B+,B+,E,E+,E-,E,,E,,A+,,,A,A,E+,E+,A,A,E,E,E,E,E-,E-,E+,E,E,E,A+,E-,E+,E,B+,B+,E,,E,E,E-,E-,0.16022485,-0.069924407,0.18349969,0.018005669,0.008372853,-0.030654427,0.035677604,0.062062554,0.11731531,-0.10380629,-0.040381305,-0.30821511,0.32245612,-0.054227635,-0.013195413,-0.17523918,0.070193261,-0.092731342,-0.012893855,0.12215401,0.053897902,0.055872954,0.14170349,-0.086610541,0.16223127,0.015696772,-0.196695103,-0.193244849,0.061820408,-0.062076915,-0.048571459,0.060091456,-0.063417408,0.159679244,0.182084795,0.221604569
Eureka,389,2010,B+,,E,E,A+,A+,,,E,E-,,,A,A,,,A-,B+,A+,B+,B+,E+,,,A+,A-,E-,E-,A-,A-,E+,B+,B+,B+,B+,,E,E,E-,E-,0.23051187,-0.18607137,0.39352116,0.50802392,0.21784449,0.37504706,0.26313651,0.22952284,-0.1902793,-0.55994356,-0.15476353,-0.76637626,0.35058427,0.21860898,0.69803274,0.77907312,0.17176421,0.37897417,0.13125122,0.23735225,-0.27410099,-0.010830546,0.098138861,-0.40017405,0.1200724,0.40468035,0.30451158,0.2710492,-0.04608028,0.00392711,-0.13188529,0.00782941,-0.08382169,0.549113014,0.252902391,0.36620221
Fairfield,310,2010,B+,B+,A+,A+,A,A+,,,E+,E-,,,A,A-,E+,E+,B+,A-,E,A+,E+,E+,E,E,E,A+,E,E,A+,E-,E,E,B+,B+,A+,,E,E,E,E,0.59409451,0.62005365,0.78358561,0.994479,-0.17262465,-0.26593456,,,-0.40841424,-0.56660599,-0.026821386,-0.19906723,,,-0.19299367,-0.59904397,0.13833655,-0.19047193,-0.39216146,-0.29790354,,,,,-0.59409451,-0.62005365,-0.97657928,-1.59352297,0.3109612,0.07546263,-0.39216146,-0.29790354,0.40841424,0.56660599,0.026821386,0.19906723
Flinthills,492,2010,B+,B+,E-,E-,E-,E-,E,E,,E,,,A+,E-,E+,,E-,A,E,E,A,A,E,,E,E,E,E,E,E+,E,E,B+,B+,E,,E,E,E,E,0.18062317,0.029394655,,,0.15446594,-0.038682461,0.58958894,0.43413642,0.12437662,0.3314513,0.10799107,0.25647464,,,,,0.25912803,0.08416944,0.11523297,0.2599391,,,0.4447315,0.27844572,-0.18062317,-0.029394655,0,0,0.10466209,0.122851901,-0.47435597,-0.17419732,-0.12437662,-0.3314513,0.33674043,0.02197108
Fort Scott,234,2010,B+,B+,A+,A+,E-,E,,E-,,A,,,A-,A-,E-,E-,A-,E+,B+,A-,A+,A+,B+,B-,A+,A-,E+,E+,B+,A-,E+,A+,,,A+,,,,E-,E-,-0.41493735,-0.35991281,-0.3163605,-0.60183853,-0.38703412,-0.48099038,-0.10068545,-0.26864874,0.001922563,-0.30019432,-0.07901492,-0.083187386,-0.48109978,-0.61927289,-0.68119836,-0.97912192,-0.56126213,-0.90785909,-0.27083763,-0.26793757,-0.19011071,-0.51483828,-0.084395312,-0.059842959,-0.06616243,-0.25936008,-0.36483786,-0.37728339,-0.17422801,-0.42686871,-0.17015218,0.00071117,-0.192033273,-0.21464396,-0.005380392,0.023344427
Fredonia,484,2010,B,B+,A-,A-,E-,E,A,A,,B+,,A-,B+,B+,,,B-,B-,A-,A-,B-,B+,,,B-,B-,B-,B-,B,B,A+,A+,B-,B-,E+,,E-,A+,A+,A+,-0.1623787,-0.17878491,-0.31856632,-0.07887733,0.1240109,0.054939881,0.27866831,0.14961252,0.39571169,-0.21696164,0.052593529,-0.062436476,-0.24093166,-0.20669995,-0.054559752,-0.1183844,-0.17756197,0.086383775,-0.25520954,-0.31132102,0.093079425,-0.10643589,0.040548213,0.12989591,-0.07855296,-0.02791504,0.264006568,-0.03950707,-0.30157287,0.031443894,-0.53387785,-0.46093354,-0.302632265,0.11052575,-0.012045316,0.192332386
Frontenac,249,2010,B+,B+,E,E,E-,E-,,E,E-,E-,,,A,A,A+,,A-,A-,E-,E-,A+,A,,,E-,E-,E+,E+,A-,E-,E,E,B+,B+,B+,,E-,E,A+,A+,-0.070349142,-0.23413964,-0.1353678,-0.47013581,0.22524656,0.054147542,0.049976617,0.34979841,0.26552084,0.19065054,-0.12200145,-0.16727281,0.077663988,0.24097866,-0.39594644,-0.45424876,-0.3926985,-0.035822805,0.26291624,0.42572075,0.14878275,0.18969092,0.13971424,-0.025956998,0.14801313,0.4751183,-0.26057864,0.01588705,-0.61794506,-0.089970347,0.212939623,0.07592234,-0.11673809,-0.00095962,0.26171569,0.141315812
Ft. Larned,495,2010,B+,B+,E,E,E-,E-,,,,E+,,,A-,E,,,A-,A,A-,E-,E+,E+,,,B,E-,E-,E-,B+,B+,E,E,B+,B,A+,,E,E-,E-,E,-0.081016511,0.12237952,-0.31073982,-0.38075691,0.2522319,0.25190252,0.15109442,-0.72836685,-0.32014403,-0.5152002,-0.069918945,-0.25410697,-0.34650579,-0.29444802,0.091705821,0.13962172,-0.018551808,-0.36290932,0.067276269,-0.030785132,-0.27612987,-0.59673297,-0.38710126,-0.60738289,-0.265489279,-0.41682754,0.402445641,0.52037863,-0.270783708,-0.61481184,-0.083818151,0.697581718,0.04401416,-0.08153277,-0.317182315,-0.35327592
Ft. Leavenworth Schools,207,2010,B+,B+,E-,E-,A-,A-,,E-,,E-,,,A-,A-,,,A,A,E-,A+,A+,B+,,,E,E,E,E,B+,B+,A,A,B+,B+,A+,,B+,B+,E-,E-,0.60142863,0.20774718,0.29199043,0.29132104,0.25312155,0.01123828,0.33664104,0.40092969,0.22752994,0.072089277,0.27683765,0.15154529,0.47298506,0.31426743,0.17909671,0.053870011,0.31978935,0.23340149,0.50108528,0.50832188,0.33833817,0.24639392,0.248989,0.13422348,-0.12844357,0.10652025,-0.11289372,-0.237451029,0.0666678,0.22216321,0.16444424,0.10739219,0.11080823,0.174304643,-0.02784865,-0.01732181
Galena,499,2010,B+,B+,E-,E-,A,A,E,E,B,B,,,B+,B+,E+,E+,A,A,E+,B+,E,E,B+,B+,B+,B+,E+,E+,B,B,E-,E-,B+,B+,E,,A+,B-,E+,E+,-0.34624952,-0.51691103,0.018181387,-0.39653677,-0.20545559,-0.33029085,0.21213718,-0.22258277,-0.34180236,0.24706431,-0.32814059,-0.1932309,-0.1286357,-0.5473547,-0.34453022,-0.80541468,0.096791111,0.17470884,-0.005044239,-0.34389839,-0.220689,-0.044867925,-0.33173597,-0.10836733,0.21761382,-0.03044367,-0.362711607,-0.40887791,0.302246701,0.50499969,-0.217181419,-0.12131562,0.12111336,-0.291932235,-0.00359538,0.08486357
Garden City,457,2010,B+,B+,E,E,A+,E-,E,E+,E+,E+,,,A,A,,,A,A,E,A-,E+,B+,,,E,E,E+,E+,B,B,E,E,B-,B-,E-,,E,E,E-,E-,-0.46852112,-0.16758293,-0.32236928,-0.16147688,-0.49378374,-0.42867571,-0.34238872,-0.15035038,-0.31526598,-0.61316621,-0.1844707,-0.28112268,-0.29595706,-0.1986735,-0.20021169,-0.048669625,-0.58673161,-0.55577517,-0.4262329,-0.18980879,-0.34922811,-0.541246,-0.24160446,-0.26127511,0.17256406,-0.03109057,0.12215759,0.112807255,-0.09294787,-0.12709946,-0.08384418,-0.03945841,-0.03396213,0.07192021,-0.05713376,0.01984757
Gardner Edgerton,231,2010,B,B,E,E,E-,E-,A,E,E-,E-,A,A,A-,B+,B-,B-,B,B+,B+,A,B+,B+,B-,B-,A,A,E-,E-,B,B,B+,B+,B,B,A+,,A-,A-,E-,A+,0.46740246,0.49507001,0.28486684,0.41023505,0.051373642,0.20786148,0.30092022,0.39118937,0.32818198,0.54154038,0.17987362,0.57262552,0.43822446,0.42775565,0.31975356,0.27084193,0.10619306,0.21228172,0.35873705,0.42721638,0.31322259,0.62789208,0.2195479,0.7292102,-0.029178,-0.06731436,0.03488672,-0.13939312,0.054819418,0.00442024,0.05781683,0.03602701,-0.01495939,0.0863517,0.03967428,0.15658468
Garnett,365,2010,B,B+,E-,E-,A,A,,A+,,A-,,B+,A-,A-,,,B,B,B+,B+,E+,E+,,,E-,E-,B+,B+,B+,A-,A+,A+,B,B,A+,,E-,E-,E-,E-,0.66337126,0.47780672,0.10848543,0.30878046,-0.10199785,-0.12123436,0.20418456,0.16158217,-0.27187747,-0.41463527,-0.15365548,-0.045451928,0.34970918,0.3930597,0.10697212,0.15340798,-0.19077921,-0.075251848,-0.093330838,-0.053679604,0.068045877,-0.09138792,-0.29548326,-0.13885644,-0.31366208,-0.08474702,-0.00151331,-0.15537248,-0.08878136,0.045982512,-0.297515398,-0.215261774,0.339923347,0.32324735,-0.14182778,-0.093404512
Geary County Schools,475,2010,B+,B+,E-,E-,A,A,,E,A,A,,A,B+,B+,E+,E+,B+,B+,E-,E-,B+,A+,B+,B+,A+,A+,E-,E,B+,A-,E,A+,B+,B+,E-,,A+,E-,A+,B+,0.009994214,0.082190037,0.02991581,-0.042062469,0.05446215,0.15668282,-0.17588651,-0.10912057,-0.045177329,0.094060741,-0.15735969,-0.23316792,0.12630203,0.13295595,0.090634353,0.11641074,0.077434748,0.056864534,-0.16558695,-0.16790392,-0.067332588,0.046611436,-0.17525543,-0.14715646,0.116307816,0.050765913,0.060718543,0.158473209,0.022972598,-0.099818286,0.01029956,-0.05878335,-0.022155259,-0.047449305,-0.01789574,0.08601146
Girard,248,2010,B+,B+,E,E,A,E-,,E+,,,,,B+,B+,,,B+,B+,B+,A-,A+,B-,,,A-,B-,E-,E-,A+,A+,E-,B+,B+,B+,A+,,E-,E-,A,A,0.41154599,0.045734785,0.22768278,0.17501305,0.044427354,-0.17993408,-0.072491743,-0.52148086,-0.12404111,-0.083959512,-0.12737712,-0.21750426,-0.023698632,-0.45902705,0.14980997,0.24320474,0.20417802,0.089651875,0.061520059,0.42131531,0.091301471,0.13176131,0.20662206,0.1655037,-0.435244622,-0.504761835,-0.07787281,0.06819169,0.159750666,0.269585955,0.134011802,0.94279617,0.215342581,0.215720822,0.33399918,0.38300796
Goddard ,265,2010,B,B,E,E,A-,A-,,E,,E-,,,A+,A+,,,A,A,A+,A+,E,E,,,E,E,E+,E+,A,A,E,E,B+,B+,E-,,E,E,E,E,0.36159042,0.24374737,0.3095544,0.22776027,0.20125197,0.22309726,0.1769134,0.47393328,0.10606972,0.31609198,0.27451953,0.21163288,0.25369459,0.32213122,0.37300339,0.2814998,0.26581311,0.33001316,0.29326728,0.38021028,0.2165184,0.33417183,0.33643186,0.43592653,-0.10789583,0.07838385,0.06344899,0.05373953,0.06456114,0.1069159,0.11635388,-0.093723,0.11044868,0.01807985,0.06191233,0.22429365
Goessel,411,2010,B+,B+,,,A-,A-,,,,A+,,,A-,B+,A+,,A-,A-,A+,E,B-,,,,B-,B-,E,E,A-,E-,E,E,B+,B+,E+,,B-,A+,E,E,,,,,,,0.11840743,-0.14588316,,,,,,,,,0.3353813,0.16603929,,,,,,,0,0,0,0,0.3353813,0.16603929,-0.11840743,0.14588316,0,0,0,0
