District Name,District Number,Year,elem_nutr_gen_atm,mid_nutr_gen_atm,hs_nutr_gen_atm,elem_nutr_bkfst,mid_nutr_bkfst,hs_nutr_bkfst,elem_nutr_lunch,mid_nutr_lunch,hs_nutr_lunch,elem_nutr_a_la_carte,mid_nutr_a_la_carte,hs_nutr_a_la_carte,elem_nutr_vend,mid_nutr_vend,hs_nutr_vend,elem_nutr_sch_store,mid_nutr_sch_store,hs_nutr_sch_store,elem_nutr_sch_day,mid_nutr_sch_day,hs_nutr_sch_day,elem_nutr_aft_sch_prog,mid_nutr_aft_sch_prog,hs_nutr_aft_sch_prog,elem_ne_gen_guide_and_class,mid_ne_gen_guide_and_class,hs_ne_gen_guide_and_class,elem_ne_cafeteria,mid_ne_cafeteria,hs_ne_cafeteria,elem_ne_events_dur_sch_day,mid_ne_events_dur_sch_day,hs_ne_events_dur_sch_day,elem_ne_aft_sch_prog,mid_ne_aft_sch_prog,hs_ne_aft_sch_prog,elem_ne_fam_comm,mid_ne_fam_comm,hs_ne_fam_comm,elem_ne_staff_well,mid_ne_staff_well,hs_ne_staff_well,elem_pa_gen_guide_pe_class,mid_pa_gen_guide_pe_class,hs_pa_gen_guide_pe_class,elem_pa_thru_day,mid_pa_thru_day,hs_pa_thru_day,elem_pa_punish,mid_pa_punish,hs_pa_punish,elem_pa_recess,mid_pa_recess,hs_pa_recess,elem_pa_bef_aft_sch,mid_pa_bef_aft_sch,hs_pa_bef_aft_sch,elem_pa_fam_comm,mid_pa_fam_comm,hs_pa_fam_comm,Notes,leaid,leaname,fips,stateabb,year,grade,3_mean_edfa_ela,3_se_edfa_ela,3_mean_edfa_math,3_se_edfa_math,4_mean_edfa_ela,4_se_edfa_ela,4_mean_edfa_math,4_se_edfa_math,5_mean_edfa_ela,5_se_edfa_ela,5_mean_edfa_math,5_se_edfa_math,6_mean_edfa_ela,6_se_edfa_ela,6_mean_edfa_math,6_se_edfa_math,7_mean_edfa_ela,7_se_edfa_ela,7_mean_edfa_math,7_se_edfa_math,8_mean_edfa_ela,8_se_edfa_ela,8_mean_edfa_math,8_se_edfa_math
Clearwater,264,2010,B+,B+,A-,E-,E-,E-,A+,A+,A+,,,E-,A,A,A,A,,,A-,A-,A-,,,,A,A-,A+,A,A-,A+,A,B+,B+,,,,A,A,A,E,E,E,A,A-,B,A+,A,B+,B+,B+,B+,A+,,,,,,E-,E-,E-,,2004920,CLEARWATER,20,KS,2010,3,0.43625364,0.12542908,0.43641183,0.13784352,0.23341325,0.11215448,0.087309174,0.1073248,0.26764753,0.10550424,0.6184181,0.15779178,0.32939425,0.10575798,0.18719688,0.11982564,0.19265154,0.10166917,0.059849881,0.10041957,0.50215936,0.1270677,0.21013652,0.10992373
Clifton-Clyde,224,2010,B+,B+,A-,A+,A+,A+,A,A,A,,,,,A,B+,,,,A,A,A,,,,A-,A-,A-,E-,A,A,E+,E+,E-,,,,E,E,A+,E-,E-,E-,A-,A-,A-,A,A,A,B-,B+,B+,A+,,,B+,B+,B+,E-,E-,E-,,2004950,CLIFTON-CLYDE,20,KS,2010,3,0.49071649,0.19442075,0.1717494,0.19369806,,,,,0.71081984,0.20300041,0.95413053,0.21674968,,,,,,,,,1.0587748,0.25207847,0.6861217,0.21592437
Coffeyville,445,2010,B+,B+,A-,E-,E-,E-,E-,E,E,A+,E-,E-,,E,E,,E,E,E-,A+,A+,E+,,,A,A,A-,E-,A-,A+,E,E-,E-,B+,,,E,E,E,E-,E-,E-,B,A,E-,E+,A+,A+,B+,B+,B+,B,,,E,E+,E+,B+,A+,A+,,2004980,COFFEYVILLE,20,KS,2010,3,-0.31132621,0.075879484,-0.39701664,0.07908757,-0.34029701,0.077192865,-0.50004625,0.080500022,-0.15697125,0.083319969,-0.36966938,0.087320216,-0.27648818,0.092606165,-0.39401862,0.095147192,-0.46009192,0.088513218,-0.54037201,0.081939496,-0.21364954,0.083680943,-0.42721322,0.070332065
Colby Public Schools,315,2010,B+,B+,B+,E-,E-,E-,A+,A+,A+,,,E,,A+,A,,,,A,A,A,,,,A-,A-,A-,A+,A+,A+,E+,B+,B+,,,,B+,B+,B-,E,E,E-,A-,B+,B,E-,A+,A+,B+,B+,B+,E-,,,E+,B+,B-,E-,A+,A+,,2005010,COLBY PUBLIC SCHOOLS,20,KS,2010,3,-0.16877472,0.15568767,-0.045522925,0.1793344,-0.1252078,0.14596768,-0.29526559,0.12244355,-0.1758443,0.10366757,-0.36677,0.098409019,-0.23405778,0.10348664,-0.31654221,0.090898156,-0.25453734,0.10703119,-0.072848938,0.098514289,-0.23775262,0.093472928,-0.20895751,0.080651887
Columbus,493,2010,B+,B+,A-,A+,A+,A+,A+,E-,E-,,A,A+,A-,,A,,,,A,A,A,,,,A,A,A,A-,A+,A-,E-,B+,B+,,,,B+,B+,B+,B+,B+,B+,B+,B+,A+,A+,B+,B+,B-,B+,B+,A+,,,E,E,A+,A+,A+,A+,,2005070,COLUMBUS,20,KS,2010,3,-0.27512383,0.095192686,-0.45454997,0.10996519,-0.46454486,0.090323545,-0.17867343,0.095170677,-0.3439348,0.098341115,-0.35308746,0.097604431,-0.50551677,0.10425122,-0.70163488,0.087078318,-0.4910742,0.13105364,-0.54815733,0.090395316,-0.24899791,0.09411563,-0.48652235,0.075259119
Comanche County,300,2010,B+,B+,A-,E,E+,E,E,E,E,,,,E,E,E+,,,,E-,E-,E-,,,,A,A,A,E,E,E,E+,E+,E,,,,E,E,E,E+,E+,E,A,A-,A-,E,E-,E-,B+,B+,B+,E-,,,,,,E-,E-,E-,,2005040,COMANCHE COUNTY,20,KS,2010,3,-0.028705001,0.17798516,-0.077014424,0.18027586,0.11073223,0.1777374,-0.023229409,0.16691944,0.16825302,0.17444929,0.42228395,0.18152077,-0.081684925,0.17081977,0.0591066,0.16290778,0.080005437,0.16778639,0.19473526,0.16248909,0.004537318,0.20729126,0.13423361,0.20086434
Concordia,333,2010,B+,B+,A-,E,E,E,E-,E-,E,,,E,B+,B+,B+,,,,A,A,A,A+,A+,,A,A,A,E,E,E,E,A,E,E,E,B+,E+,E+,E+,E,E,E,A+,A+,B,E+,E+,E-,B+,B+,B+,E-,,,E+,E+,E-,E,E+,E,,2005100,CONCORDIA,20,KS,2010,3,0.38544846,0.14970469,0.46218005,0.13925979,0.14135061,0.10561461,0.13118683,0.08442542,-0.070743442,0.11520123,-0.23924692,0.11299551,0.19880554,0.12155195,0.11911971,0.093595631,0.20161819,0.11891154,0.30268979,0.10499689,0.074794546,0.130943,0.10727823,0.14582621
Conway Springs,356,2010,B+,B+,A-,A+,A+,A+,B+,B+,B+,B+,B,B,B+,A,A-,,,,B,B,B,,,,A-,A-,A-,B,B,B,B+,B+,B+,,,,B-,B-,B-,B-,B-,B-,B+,A+,B,B,B,B,B+,B+,B+,B,,,A+,E-,E-,B-,B-,B-,,2005130,CONWAY SPRINGS,20,KS,2010,3,0.063617647,0.20092693,0.16092032,0.2051183,0.15916486,0.18140087,-0.38797599,0.1704064,-0.18089521,0.1703579,-0.10816944,0.17123775,0.24802683,0.16777588,-0.22820404,0.15138024,0.17746586,0.10653488,0.30686638,0.082510188,0.25653294,0.13479459,0.42903444,0.13752854
Copeland,476,2010,B+,B+,,A,A,,,,,,,,,,,,,,A+,A,,,,,E+,E+,,E,E,,A,A,,,,,E-,E-,,E-,E-,,A-,E-,,E+,E+,,B,B+,,E,,,,,,E-,E-,,,2005190,COPELAND,20,KS,2010,6,,,,,,,,,,,,,-0.40390164,0.15984057,0.16476837,0.15504506,-0.21306671,0.16707057,0.3748441,0.1652018,0.013348633,0.18839051,0.5086543,0.19219387
Crest,479,2010,B+,B+,B+,E-,E-,E-,A,A,A,,,,,,,,,,A,A,A,,,,E+,A+,A,A+,E-,E,E-,A-,A-,,,,E,E,E,E,E,E,A+,A+,B+,E,E,E,B+,B+,B+,E,,,,,,E,E,E,,2008040,CREST,20,KS,2010,4,,,,,-0.46830177,0.21238323,-0.75320792,0.20329468,,,,,,,,,,,,,,,,
Deerfield,216,2010,B+,B+,A-,E,E,E,A+,A+,A+,,,,A+,E-,E,,,,A+,A+,A+,E+,E+,E+,E+,E+,E+,E+,E,E,E+,E,E,E+,E+,E,E,E,E,E+,E+,E+,E+,E,E-,E+,E,E,B,B,,E,,,E+,E+,E+,E,E,E,,2005400,DEERFIELD,20,KS,2010,7,,,,,,,,,,,,,,,,,0.22920398,0.19821855,-0.29835913,0.18532808,-0.060422935,0.19502471,-0.49535474,0.18278059
Derby,260,2010,B+,B+,A-,E,E,E,A+,A+,E-,,E+,E+,,A,E-,,,,A-,A-,A-,E+,,,A-,B+,B+,B-,B-,B-,B+,B+,B+,B-,,,B+,B-,B-,E-,E-,E-,B,B,B,B+,B+,B+,B+,B+,B+,B+,,,A+,A+,A+,B+,B+,B+,,2005460,DERBY,20,KS,2010,3,0.097909905,0.045786679,-0.037880033,0.049691778,0.017894151,0.041794401,-0.041747253,0.043994069,0.002289912,0.04394275,-0.005660857,0.043310095,-0.048287943,0.048474364,0.069715209,0.044569191,-0.21577574,0.042232525,-0.047628239,0.040404689,-0.004824936,0.040203895,0.079246089,0.042734124
DeSoto,232,2010,B+,B+,B+,A,A,,A,A,A,,E,E,,A,A,,,,A-,A-,A-,,,,B,B,B,B,B,A-,B+,B+,B+,B-,,,B-,B-,B-,E+,E+,E+,B,B,B+,B+,B+,B+,B+,B+,B+,B+,,,A+,A+,A+,B-,A+,A+,,2005490,DE SOTO,20,KS,2010,3,0.28338256,0.048103526,0.16084372,0.04624179,0.33263353,0.046656992,0.13115104,0.047815252,0.37293345,0.050861079,0.26463273,0.051513951,0.35508701,0.04632318,0.1483705,0.041475549,0.4645167,0.050353132,0.33583283,0.041271996,0.41277784,0.051555187,0.27991977,0.050925791
Dighton,482,2010,B+,B+,A-,E,E,E,E-,E-,E-,,,,,E,E,,,,A+,A+,A+,E+,E+,E+,E+,E,E-,E,E,E,E+,E+,E+,,,,E+,E,E,E+,E+,E+,A,A+,A,E,E,E,B+,B+,B+,E,,,E+,E+,E+,E,E,E,,2005550,DIGHTON,20,KS,2010,4,,,,,0.046073209,0.20672907,0.086552024,0.19614708,,,,,,,,,,,,,0.6825946,0.21099876,0.80127555,0.2025381
Dodge City,443,2010,B+,B+,A-,E,E+,E+,E-,E-,E-,,A+,E-,E,E,E-,,,,A-,A-,A-,E+,,,A-,A-,A+,A,A,A+,E-,E-,E+,E-,,,A+,A+,A+,E,E,E,A,A-,A,E,E-,E,B+,B+,B+,E,,,E,E,E,E-,E-,E-,,2005580,DODGE CITY,20,KS,2010,3,-0.28198636,0.050349001,-0.18960345,0.052491508,-0.33790544,0.042782847,-0.17130075,0.040553201,-0.39456749,0.052688587,-0.21345973,0.049588468,-0.22889319,0.045611192,-0.041868307,0.047699191,-0.40377998,0.050583269,-0.55207562,0.050622225,-0.59504271,0.050145529,-0.62454528,0.055001196
Doniphan West Schools,111,2010,B+,B+,B,A+,A+,A+,A-,A-,A-,,,,,,A-,,,,,,,,,,A,E,E,A-,E-,E-,E,E,E,,,,E,E,E,E,E,E,E,E,E+,E+,E+,E+,B-,B-,B-,E,,,E,E,E,E-,E-,E-,,2000348,DONIPHAN WEST SCHOOLS,20,KS,2010,3,-0.4312157,0.1967485,-0.31464154,0.19991158,-0.16809593,0.19518714,-0.54692966,0.1846453,-0.090762123,0.17351866,-0.10055818,0.1757253,0.003559762,0.16346967,0.097960606,0.15358929,-0.22813158,0.20184274,-0.22634457,0.19720131,0.010120543,0.16961913,-0.3758963,0.16258362
Douglass Public Schools,396,2010,B+,B+,A-,E+,E+,E+,E-,E-,E-,,E,E,,,E-,,,A+,A,A,A,,,,A,A,A,E-,E-,E-,A+,B+,B+,,,,A-,A-,A-,A,A-,A,B+,B+,E-,E-,B+,B+,B-,B-,B-,E-,,,E+,E+,E,,E-,A+,,2005610,DOUGLASS PUBLIC SCHOOLS,20,KS,2010,3,-0.091651998,0.10840123,-0.16251047,0.11920661,-0.17322239,0.13672891,-0.011346158,0.11203121,0.045866482,0.14480932,-0.17342347,0.1157787,-0.000917459,0.13604087,0.099860549,0.1090909,-0.28363383,0.11425661,-0.13786027,0.11212981,-0.12174564,0.13597193,0.062556341,0.1351252
Durham-Hillsboro-Lehigh,410,2010,B,B,B,A+,A+,A+,A,A-,A-,,,,,B,B,,,,A-,B+,B+,,,,B,B,B,B+,B+,A-,B+,B+,B+,,,,A-,A-,A-,A+,A+,A+,A,A,E,B+,B+,B+,B+,B+,B+,A+,,,E,E,,A+,A+,A+,,2007290,DURHAM-HILLSBORO-LEHIGH,20,KS,2010,3,0.3645978,0.15810525,0.5074423,0.16546015,0.34161374,0.1447265,0.66673678,0.14484875,0.13813655,0.14244466,0.94155115,0.16419905,0.19752373,0.14912654,0.44409901,0.14632642,0.29320604,0.14451593,0.26788548,0.13489184,0.25568613,0.1471929,0.42080584,0.14512762
Easton,449,2010,B+,B+,A-,A,A,A,A,A,A,,E,E,,E-,A,,,,A,A-,A-,,,,B-,B-,B,A+,A+,A+,A+,A+,A+,,,,A+,E-,A+,E-,E-,A+,B,E-,E-,E+,E-,A+,B,B+,B+,A+,,,,,,E-,E,A+,,2005640,EASTON,20,KS,2010,3,0.55346107,0.13923289,0.44940028,0.14443161,0.22904935,0.13086015,0.6007542,0.21253416,0.18426424,0.15027499,0.20319712,0.15163387,-0.17033871,0.11930057,-0.51931757,0.13666278,0.080401443,0.1627499,-0.17378622,0.10704226,0.040921107,0.112023,-0.062459197,0.08765164
El Dorado,490,2010,B+,B+,B+,E,E,E,A+,A+,A+,,E,E,,E-,E,,,,A,A,A,,,,B,B,B,E-,E-,E-,B+,B+,B+,,,,B+,B+,B+,,,,B,A+,E+,E,E,E-,B,B+,B+,E,,,E,E,E,E,E,E,,2005730,EL DORADO,20,KS,2010,3,0.18474391,0.074201994,0.15552644,0.081028454,0.097754918,0.064980425,0.20422156,0.074474461,0.11285118,0.092134029,0.36362904,0.089026459,-0.18330789,0.072615452,0.064424574,0.070771165,0.1175352,0.069596067,-0.017136324,0.072291665,0.059116438,0.077647485,-0.1470397,0.07807558
Elkhart,218,2010,B+,B+,A-,E,E,E,E-,E-,E-,,E-,E-,,A+,E-,,A+,A+,A-,A-,A-,E-,,,B+,A-,B+,A,A-,A-,E-,E-,A+,E,E,,A+,A+,A+,E+,E,,A-,B+,E+,E-,B,A,B+,B+,B+,E-,,,E-,E,E-,E-,E-,A+,,2005790,ELKHART,20,KS,2010,3,0.23189075,0.12984392,0.11202879,0.16743171,-0.16771366,0.13968731,-0.31647712,0.13492787,-0.52169895,0.14324433,-0.57402432,0.14728919,-0.16465753,0.10370055,-0.67207134,0.12218162,-0.15975572,0.12266304,-0.28258529,0.10744036,-0.29695281,0.12713218,-0.2756106,0.12495309
Ellinwood Public Schools,355,2010,B+,B+,B,A+,A+,A+,A,A,A,A+,A+,A+,,A,A+,,,,A,A,A,,,,E-,E-,E-,E-,E-,E-,E,E,E,,,,A+,A+,A+,E-,E-,E-,A+,E-,E-,A+,B+,B+,B+,B+,B+,A+,,,B+,B+,B+,E-,E-,E-,,2005820,ELLINWOOD PUBLIC SCHOOLS,20,KS,2010,3,0.30227864,0.18863191,0.14022288,0.18940663,0.44150275,0.19419691,0.178758,0.17942661,0.15301433,0.18204719,0.15171266,0.18138492,-0.36210868,0.15913387,-0.048041731,0.15154409,-0.40002412,0.17720877,-0.2388781,0.17222349,-0.26765102,0.16232404,-0.038968764,0.15973884
Ellis,388,2010,B+,B+,A-,E-,E,E-,,,,,,,,,,,,,A+,A+,A,A,,,A,A,A-,E,E,A+,E,E,E+,A+,,,E-,E-,B-,E,E,E,B+,A+,E-,E,E-,B+,B-,B+,B+,E,,,,,,E,E,E+,,2005850,ELLIS,20,KS,2010,3,0.39975622,0.1809908,-0.070899077,0.18273628,0.22993626,0.1916935,0.006985458,0.18242864,-0.13868494,0.1653503,-0.52136797,0.1653557,0.39238867,0.19778921,-0.055244621,0.17908712,0.74253541,0.22630896,0.7849474,0.20837197,0.40175521,0.18219839,0.061710704,0.1742916
Ell-Saline,307,2010,B+,B+,A-,E+,E+,E+,E,E,E,,,,,E+,E+,,,,A,A-,A-,A-,,,A+,A+,A+,E,A,A,E,,E,A+,,,A+,A+,A+,A+,A+,A+,A-,B+,B+,E-,E-,E-,B+,B+,B+,B+,,,,E-,E-,E-,E-,E-,,2005800,ELL-SALINE,20,KS,2010,3,0.24754916,0.18905123,0.13873118,0.19486748,-0.21298419,0.15347397,-0.53615034,0.14593635,-0.052805476,0.1446203,-0.40895212,0.14300716,0.25510889,0.15585405,0.30089203,0.14771889,-0.049938761,0.14809902,-0.42943978,0.14230241,0.34617245,0.14791422,0.12919033,0.13978229
Ellsworth,327,2010,B+,B+,A-,E,E,,A+,A+,A+,,,E+,E+,E+,E+,,,,A,A-,A-,,,,B+,B,B,B+,B+,B+,B+,B+,B+,A-,,,B+,B-,B-,A,A,A,A-,A-,A,E+,A+,A+,B+,B+,B+,E-,,,E-,A+,A+,A+,A+,A+,,2005870,ELLSWORTH,20,KS,2010,3,0.66021186,0.14644596,0.7457906,0.15943462,0.27155748,0.11163329,-0.11262283,0.10477483,0.14093916,0.1033457,0.14453335,0.12537289,-0.068574943,0.14839941,0.19494967,0.14249505,0.45823389,0.1672795,0.20455188,0.15092713,-0.12220673,0.13971825,0.10020673,0.13636307
Elwood,486,2010,B+,B+,A-,A+,A+,A+,E-,E-,E-,,E,E,E-,E-,E-,,,,A-,A-,A-,E,E,E,A-,A-,A-,A,A-,A-,A+,A+,A,E,E,E,A-,A-,A-,E-,E-,A+,A-,A-,A-,E-,A+,A+,B+,B+,B+,A+,,,E,E,E,E-,E-,E-,,2005910,ELWOOD,20,KS,2010,3,-0.14061645,0.19898371,0.048830826,0.20373169,-0.49854282,0.19445519,-0.57068294,0.18435362,-0.27317539,0.18076843,-0.13496768,0.18505678,-0.46011019,0.19070382,-0.60452724,0.18096748,,,,,,,,
Emporia,253,2010,B+,B+,B,E,E,E,E-,E-,E-,E+,E+,E+,E+,E,E+,E,E,E,A-,A-,A-,E+,E+,,E+,E+,E+,E,E,E,E,E,E,E,E,E,E,E,E,E+,E+,E+,E-,E-,E-,E+,E+,E+,B+,B+,B+,E,,,E,E,E,E,E,E,,2005940,EMPORIA,20,KS,2010,3,0.10331168,0.055820461,0.1335592,0.059840336,-0.13141218,0.052969363,-0.20660132,0.051335569,-0.31852421,0.061917234,-0.33620197,0.058285341,-0.31681129,0.063855872,-0.2473231,0.05969692,0.049857955,0.062127829,-0.010898832,0.049264297,-0.085808374,0.061106235,-0.032119725,0.0610415
Erie,101,2010,B+,B,A-,E,E,E,E-,E-,E-,E,E,E,,,E-,,,,A-,B+,B+,,,,B+,B+,B+,E,A+,B+,A,A,B+,,,,A+,A,A,E-,E-,A+,A+,B+,B,E-,B+,B+,B+,B+,B+,E-,,,,,,,,A+,,2006000,ERIE,20,KS,2010,3,0.011562979,0.16038682,0.23260024,0.16694589,-0.31996167,0.16035238,-0.15542978,0.15411787,-0.03450235,0.14426595,0.27577126,0.15055768,0.043310951,0.14762995,-0.13776442,0.13731624,0.72788012,0.1820202,0.40720883,0.15883562,0.39492306,0.13619541,0.33512491,0.12832391
Eudora,491,2010,B+,B+,A-,E,E+,E+,E-,E,E,,E,E,,A+,E-,,,,A,A,A,E+,E+,,A,A,A,E,E,E,E,E,E,E-,E-,,E+,E,E,E,E,E,A+,E-,E+,E+,E,E,B+,B+,B+,E,,,E,E,E,E-,E-,E-,,2006090,EUDORA,20,KS,2010,3,0.16022485,0.093792342,-0.069924407,0.087957934,0.18349969,0.10219485,0.018005669,0.092363842,0.008372853,0.10445269,-0.030654427,0.11419181,0.035677604,0.086048722,0.062062554,0.081252567,0.11731531,0.13245036,-0.10380629,0.09928944,-0.040381305,0.10890105,-0.30821511,0.093536921
Eureka,389,2010,B+,,A-,E,E,E,A+,A+,A+,,,,E,E-,E-,,,,A,A,A,,,,A-,B+,B+,A+,B+,B+,B+,E+,E+,,,,A+,A-,A-,E-,E-,E-,A-,A-,A-,E+,B+,B+,B+,B+,B+,B+,,,E,E,E,E-,E-,E-,,2006120,EUREKA,20,KS,2010,3,0.23051187,0.15608263,-0.18607137,0.15443762,0.39352116,0.13350075,0.50802392,0.10333274,0.21784449,0.13344376,0.37504706,0.13767929,0.26313651,0.13238733,0.22952284,0.14897126,-0.1902793,0.14496671,-0.55994356,0.1398612,-0.15476353,0.12895185,-0.76637626,0.12559688
Fairfield,310,2010,B+,B+,A-,A+,A+,A+,A,A+,A+,,,,E+,E-,E+,,,,A,A-,A-,E+,E+,E+,B+,A-,B+,E,A+,A+,E+,E+,E+,E,E,B-,E,A+,A+,E,E,E,A+,E-,E-,E,E,E,B+,B+,B+,A+,,,E,E,A,E,E,E,,2008310,FAIRFIELD,20,KS,2010,3,0.59409451,0.21021083,0.62005365,0.22213034,0.78358561,0.21334274,0.994479,0.21519549,-0.17262465,0.20415558,-0.26593456,0.20437348,,,,,-0.40841424,0.20633434,-0.56660599,0.20351128,-0.026821386,0.18811031,-0.19906723,0.18134063
Flinthills,492,2010,B+,B+,A-,E-,E-,E-,E-,E-,E-,E,E,E,,E,E,,,,A+,E-,E-,E+,,,E-,A,A-,E,E,E,A,A,A,E,,,E,E,E,E,E,E,E,E+,E+,E,E,E,B+,B+,B+,E,,,E,E,E,E,E,E,,2011220,FLINTHILLS,20,KS,2010,3,0.18062317,0.20247817,0.029394655,0.20269282,,,,,0.15446594,0.18186721,-0.038682461,0.18418075,0.58958894,0.21889593,0.43413642,0.20438875,0.12437662,0.2104933,0.3314513,0.20189352,0.10799107,0.20405933,0.25647464,0.19805999
Fort Scott,234,2010,B+,B+,B,A+,A+,A+,E-,E,E,,E-,E,,A,A,,,,A-,A-,B+,E-,E-,,A-,E+,B+,B+,A-,B+,A+,A+,B+,B+,B-,,A+,A-,B+,E+,E+,E+,B+,A-,A-,E+,A+,A+,,,,A+,,,,,,E-,E-,A+,,2006180,FORT SCOTT,20,KS,2010,3,-0.41493735,0.085859038,-0.35991281,0.085941844,-0.3163605,0.078703128,-0.60183853,0.085057139,-0.38703412,0.10587069,-0.48099038,0.084625632,-0.10068545,0.095000483,-0.26864874,0.073758699,0.001922563,0.094567083,-0.30019432,0.084808007,-0.07901492,0.077921659,-0.083187386,0.072860964
Fredonia,484,2010,B,B+,B,A-,A-,A-,E-,E,E,A,A,E-,,B+,A-,,A-,,B+,B+,B+,,,,B-,B-,B-,A-,A-,A-,B-,B+,B+,,,,B-,B-,B-,B-,B-,B-,B,B,A-,A+,A+,A+,B-,B-,B-,E+,,,E-,A+,A+,A+,A+,A+,,2006270,FREDONIA,20,KS,2010,3,-0.1623787,0.1400698,-0.17878491,0.13204019,-0.31856632,0.13996752,-0.07887733,0.11351151,0.1240109,0.16146672,0.054939881,0.10550128,0.27866831,0.1221388,0.14961252,0.10437342,0.39571169,0.1779329,-0.21696164,0.12792987,0.052593529,0.11200232,-0.062436476,0.13402529
Frontenac,249,2010,B+,B+,B,E,E,E,E-,E-,E-,,E,E,E-,E-,E-,,,,A,A,A,A+,,,A-,A-,A-,E-,E-,E-,A+,A,A,,,,E-,E-,A+,E+,E+,E+,A-,E-,E+,E,E,E,B+,B+,B+,B+,,,E-,E,E-,A+,A+,A+,,2006300,FRONTENAC PUBLIC SCHOOLS,20,KS,2010,3,-0.070349142,0.14201915,-0.23413964,0.10849629,-0.1353678,0.11960085,-0.47013581,0.099607483,0.22524656,0.12118872,0.054147542,0.10024081,0.049976617,0.10707331,0.34979841,0.12783858,0.26552084,0.085476398,0.19065054,0.086323544,-0.12200145,0.15299274,-0.16727281,0.12121526
Ft. Larned,495,2010,B+,B+,A-,E,E,E,E-,E-,E-,,,,,E+,E,,,,A-,E,A,,,,A-,A,E-,A-,E-,A-,E+,E+,A,,,,B,E-,B-,E-,E-,A+,B+,B+,E,E,E,A,B+,B,B,A+,,,E,E-,,E-,E,A+,,2008370,FT LARNED,20,KS,2010,3,-0.081016511,0.10662885,0.12237952,0.12059824,-0.31073982,0.10027197,-0.38075691,0.1328291,0.2522319,0.12565644,0.25190252,0.099198267,0.15109442,0.096646927,-0.72836685,0.093943574,-0.32014403,0.10186157,-0.5152002,0.087104611,-0.069918945,0.10817257,-0.25410697,0.10886584
Ft. Leavenworth Schools,207,2010,B+,B+,,E-,E-,,A-,A-,,,E-,,,E-,,,,,A-,A-,,,,,A,A,,E-,A+,,A+,B+,,,,,E,E,,E,E,,B+,B+,,A,A,,B+,B+,,A+,,,B+,B+,,E-,E-,,,2006330,FT LEAVENWORTH,20,KS,2010,3,0.60142863,0.08404164,0.20774718,0.068340547,0.29199043,0.067746095,0.29132104,0.073049076,0.25312155,0.094817646,0.01123828,0.068173312,0.33664104,0.078012519,0.40092969,0.088485159,0.22752994,0.095159151,0.072089277,0.063361883,0.27683765,0.087753966,0.15154529,0.079193659
Galena,499,2010,B+,B+,A-,E-,E-,E-,A,A,A,E,E,E,B,B,B,,,,B+,B+,B+,E+,E+,,A,A,A,E+,B+,B+,E,E,E,B+,B+,,B+,B+,B+,E+,E+,E+,B,B,B,E-,E-,B+,B+,B+,B+,E,,,A+,B-,B-,E+,E+,E+,,2006360,GALENA,20,KS,2010,3,-0.34624952,0.13361111,-0.51691103,0.13384511,0.018181387,0.11526891,-0.39653677,0.11433004,-0.20545559,0.1280884,-0.33029085,0.11489188,0.21213718,0.11596243,-0.22258277,0.10416529,-0.34180236,0.13448893,0.24706431,0.21032453,-0.32814059,0.12920517,-0.1932309,0.12558094
Garden City,457,2010,B+,B+,B+,E,E,E,A+,E-,E-,E,E+,E,E+,E+,E,,,A+,A,A,A,,,,A,A,A,E,A-,A-,E+,B+,E,,,,E,E,A+,E+,E+,E+,B,B,B,E,E,A,B-,B-,B+,E-,,,E,E,E,E-,E-,A+,,2006390,GARDEN CITY,20,KS,2010,3,-0.46852112,0.037758503,-0.16758293,0.042825691,-0.32236928,0.04287044,-0.16147688,0.042777538,-0.49378374,0.042360373,-0.42867571,0.041655101,-0.34238872,0.039387941,-0.15035038,0.043568671,-0.31526598,0.043188177,-0.61316621,0.050318837,-0.1844707,0.043732498,-0.28112268,0.043475058
Gardner Edgerton,231,2010,B,B,B+,E,E,E,E-,E-,E-,A,E,E,E-,E-,E-,A,A,A,A-,B+,B+,B-,B-,B-,B,B+,B+,B+,A,A,B+,B+,B+,B-,B-,B-,A,A,A,E-,E-,E-,B,B,B,B+,B+,B+,B,B,B,A+,,,A-,A-,A-,E-,A+,A+,,2006420,GARDNER EDGERTON,20,KS,2010,3,0.46740246,0.043770779,0.49507001,0.05147073,0.28486684,0.045846533,0.41023505,0.040698174,0.051373642,0.051121026,0.20786148,0.052815851,0.30092022,0.051294539,0.39118937,0.055338286,0.32818198,0.053564057,0.54154038,0.057219025,0.17987362,0.052374788,0.57262552,0.053196955
Garnett,365,2010,B,B+,B,E-,E-,E-,A,A,A,,A+,A+,,A-,A+,,B+,B+,A-,A-,A-,,,,B,B,B,B+,B+,B+,E+,E+,E-,,,,E-,E-,,B+,B+,B+,B+,A-,A+,A+,A+,B+,B,B,,A+,,,E-,E-,A+,E-,E-,A+,,2006450,GARNETT,20,KS,2010,3,0.66337126,0.10895809,0.47780672,0.11705874,0.10848543,0.094579428,0.30878046,0.098537102,-0.10199785,0.077869616,-0.12123436,0.09903501,0.20418456,0.088165723,0.16158217,0.08967001,-0.27187747,0.10397418,-0.41463527,0.092308715,-0.15365548,0.10254296,-0.045451928,0.087551981
